x1: Host concentration / M,x2: Guest concentration / M,y1: Proton 1,y2: Proton 2,y3: Proton 3
0.0218,0,7.613,7.4321,6.3246
0.0218,0.421544607,7.714,7.5071,6.3942
0.0218,0.816742677,7.7616,7.5444,6.4278
0.0218,1.187989348,7.7903,7.5682,6.4479
0.0218,1.53739798,7.8116,7.5865,6.4625
0.0218,1.866840404,7.8269,7.5999,6.4729
0.0218,2.177980471,7.8391,7.6109,6.4815
0.0218,2.472302157,7.8494,7.62,6.4882
0.0218,2.751133227,7.8592,7.6286,6.4943
0.0218,3.015665268,7.8659,7.6347,6.4979
0.0218,3.266970707,7.872,7.6395,6.5016
0.0218,3.506017344,7.8775,7.6444,6.5046
0.0218,3.733680808,7.883,7.6493,6.5077
0.0218,3.950755273,7.8867,7.6524,6.5095
0.0218,4.157962718,7.8903,7.6554,6.5107
0.0218,4.355960943,7.8928,7.6572,6.512
0.0218,4.545350549,7.8964,7.6603,6.5138
0.0218,4.726681023,7.8995,7.6627,6.515
0.0218,4.90045606,7.9007,7.664,6.515
0.0218,5.067138239,7.9037,7.6658,6.5162
0.0218,5.227153131,7.9044,7.6664,6.5162
0.0218,5.380892929,7.9068,7.6682,6.5168
0.0218,5.528719658,7.908,7.6688,6.5175
0.0218,5.67096802,7.9099,7.6701,6.5181
0.0218,5.807947923,7.9099,7.6701,6.5181
0.0218,5.93994674,7.9117,7.6713,6.5187
0.0218,6.067231313,7.9129,7.6719,6.5187
0.0218,6.19004976,7.9141,7.6725,6.5193
0.0218,6.308633089,7.9147,7.6731,6.5199
0.0218,6.423196644,7.9147,7.6725,6.5187
0.0218,6.533941414,7.9166,7.6737,6.5199
