H,G,Y1
7.4813E-05,0.003,0.0489
0.000149254,0.003,0.117706468
0.000223325,0.003,0.205375682
0.00029703,0.003,0.309683168
0.00037037,0.003,0.431198765
0.00044335,0.003,0.569499015
0.000515971,0.003,0.734509828
0.000588235,0.003,0.895566667
0.000660147,0.003,1.091523961
0.000731707,0.003,1.329168293
0.00080292,0.003,1.554045742
0.000873786,0.003,1.812675728
0.00094431,0.003,2.063742131
0.001014493,0.003,2.343234783
0.001084337,0.003,2.637903614
0.001153846,0.003,2.953519231
0.001223022,0.003,3.277718225
0.002540046,0.003,12.51129176
0.003741794,0.003,25.71787615
0.004304069,0.003,33.61539208
0.004842767,0.003,41.78428407
0.005359343,0.003,50.77598686
0.005855131,0.003,60.29426318
0.006331361,0.003,70.42841302
0.006789168,0.003,80.80250832
0.007229602,0.003,91.58162789
0.007653631,0.003,102.0989311
0.008062157,0.003,113.3679049
0.008456014,0.003,124.7724099
0.008835979,0.003,135.6111277
0.009202773,0.003,147.51407
0.00955707,0.003,159.2866956
0.009899497,0.003,170.5514796
